initial,day,period,subj1,class1,loc1,subj2,class2,loc2
SMC,4,3,CHIN,G12T,SR11B,,,
SMC,4,4,CHIN,G12J,SR11B,CHIN,G12M,SR11B
SMC,4,4,CHIN,G12T,SR11B,,,
SMC,4,5,CHIN,G11M,SR6,CHIN,G11P,SR6
SMC,4,6,CHIN,G11M,SR6,CHIN,G11P,SR6
SMC,5,1,CHIN,G11M,SR6,CHIN,G11P,SR6
SMC,5,5,CHIN,G7A,G7A,,,
SMC,5,6,CHIN,G7A,G7A,,,
SP,1,3,RE,G9T,G9T,,,
SP,1,5,RE,G9A,G9A,,,
SP,1,6,RE,G7D,G7D,,,
SP,2,1,MUS,G7S,MUS,,,
SP,2,3,CLP (non-lesson),CLP,GSCC,,,
SP,2,4,MUS,G7L,MUS,,,
SP,2,5,RE,G8D,G8D,,,
SP,2,6,RE,G9D,G9D,,,
SP,3,1,RE,G7J,G7J,,,
SP,3,2,CLP (non-lesson),CLP,GSCC,,,
SP,3,3,RE,G8J,G8J,,,
SP,3,5,MUS,G7A,MUS,,,
SP,3,6,RE,G8G,G8G,,,
SP,4,1,MUS,G7G,MUS,,,
SP,4,5,RE,G9P,G9P,,,
SP,4,6,RE,G7M,G7M,,,
SP,5,1,RE,G8A,G8A,,,
SWL,1,1,BAFS,G12J,G12J,BAFS,G12T,G12J
SWL,1,3,BAFS,G11J,SR6,BAFS,G11T,SR6
SWL,1,5,BAFS-Y,G10J,G10M,BAFS-Y,G10M,G10M
SWL,1,5,BAFS-Y,G10S,G10M,BAFS-Y,G10T,G10M
SWL,1,6,BAFS-Y,G12J,G12M,BAFS-Y,G12M,G12M
SWL,1,6,BAFS-Y,G12S,G12M,BAFS-Y,G12T,G12M
SWL,2,1,BAFS,G11J,SR6,BAFS,G11T,SR6
SWL,2,2,BAFS-Y,G12J,G12M,BAFS-Y,G12M,G12M
SWL,2,2,BAFS-Y,G12S,G12M,BAFS-Y,G12T,G12M
SWL,2,3,BAFS,G10J,G10J,BAFS,G10T,G10J
SWL,3,1,BAFS,G10J,G10J,BAFS,G10T,G10J
SWL,3,2,BAFS,G11J,SR6,BAFS,G11T,SR6
SWL,3,3,BAFS,G12J,G12J,BAFS,G12T,G12J
SWL,4,2,BAFS,G12J,G12J,BAFS,G12T,G12J
SWL,4,3,BAFS-Y,G10J,G10M,BAFS-Y,G10M,G10M
SWL,4,3,BAFS-Y,G10S,G10M,BAFS-Y,G10T,G10M
SWL,4,5,BAFS-Y,G12J,G12M,BAFS-Y,G12M,G12M
SWL,4,5,BAFS-Y,G12S,G12M,BAFS-Y,G12T,G12M
SWL,4,6,BAFS,G10J,G10J,BAFS,G10T,G10J
SWL,5,3,BAFS-Y,G10J,G10M,BAFS-Y,G10M,G10M
SWL,5,3,BAFS-Y,G10S,G10M,BAFS-Y,G10T,G10M
SWL,5,5,BAFS,G11J,SR6,BAFS,G11T,SR6
SYL,1,3,HIST,G7J,G7J,,,
SYL,1,4,HIST,G8P,G8P,,,
SYL,1,5,HIST,G7S,G7S,,,
SYL,1,6,GEOG,G8G,G8G,,,
SYL,2,4,HIST,G7M,G7M,,,
SYL,2,5,HIST,G8A,G8A,,,
SYL,2,6,HIST,G7P,G7P,,,
SYL,3,1,GEOG,G8T,G8T,,,
SYL,3,2,GEOG,G8M,G8M,,,
SYL,3,3,GEOG,G8D,G8D,,,
SYL,4,2,GEOG,G7D,G7D,,,
SYL,4,4,GEOG,G7G,G7G,,,
SYL,4,5,HIST,G7L,G7L,,,
SYL,4,6,HIST,G7D,G7D,,,
SYL,5,5,HIST,G7T,G7T,,,
SYL,5,6,GEOG,G8L,G8L,,,
TCM,1,5,PTH,G9P,G9P,,,
TCM,1,6,PTH,G9T,G9T,,,
TCM,2,1,PTH,G7M,G7M,,,
TCM,2,4,PTH,G7A,G7A,,,
TCM,2,5,PTH,G9A,G9A,,,
TCM,2,6,PTH,G9J,G9J,,,
TCM,3,2,PTH,G9L,G9L,,,
TCM,3,5,PTH,G9S,G9S,,,
TCM,4,2,PTH,G7S,G7S,,,
TCM,4,4,PTH,G7J,G7J,,,
TCM,4,5,PTH,G9M,G9M,,,
TCM,5,1,PTH,G9G,G9G,,,
TKL,1,4,VA,G9L,ART,,,
TKL,2,1,VA,G8P,ART,,,
TKL,2,3,VA,G9D,ART,,,
TKL,2,4,VA,G8M,ART,,,
TKL,2,5,VA,G8T,ART,,,
TKL,3,2,VA,G8G,ART,,,
TKL,3,5,VA,G9G,ART,,,
TKL,4,2,VA,G8L,ART,,,
TKL,4,3,VA,G8J,ART,,,
TKL,4,5,VA,G9T,ART,,,
TKL,4,6,VA,G8D,ART,,,
TKL,5,1,VA,G8S,ART,,,
TKL,5,2,VA,G8A,ART,,,
TKL,5,4,VA,G9J,ART,,,
TMS,1,1,CHEM,G12D,G12D,,,
TMS,1,2,CHEM,G11P,G11P,,,
TMS,1,5,CHEM,G10P,G10P,,,
TMS,1,6,CHEM,G10P,G10P,,,
TMS,2,1,CHEM,G10M,G10M,,,
TMS,2,2,CHEM,G10M,G10M,,,
TMS,2,4,FIS,G9D,CHM,,,
TMS,2,5,CHEM,G10P,G10P,,,
TMS,3,3,CHEM,G9D,IS2,,,
TMS,3,5,CHEM,G11P,CHM,,,
TMS,3,6,CHEM,G11P,CHM,,,
TMS,4,1,CHEM,G12D,CHM,,,
TMS,4,2,CHEM,G12D,CHM,,,
TMS,4,4,CHEM,G11P,G11P,,,
TMS,5,4,CHEM,G10M,G10M,,,
TN,1,4,ENG,G7D,G7D,,,
TN,1,5,ELIT,G7J,SR10A,ELIT,G7T,SR10A
TN,1,6,ENG,G11T,G11T,,,
TN,2,1,ENG,G7D,G7D,,,
TN,2,5,ENG,G12P,G12P,,,
TN,3,2,ENG,G7D,G7D,,,
TN,3,3,ENG,G11T,G11T,,,
TN,4,1,ENG,G11T,G11T,,,
TN,4,2,ENG,G12P,G12P,,,
TN,4,6,ELIT,G7J,SR10A,ELIT,G7T,SR10A
TN,5,2,ENG,G11T,G11T,,,
TN,5,3,ENG,G12P,G12P,,,
TN,5,4,ENG,G12P,G12P,,,
TN,5,5,ENG,G7D,G7D,,,
TWL,1,1,CHIN,G11D,SR11A,CHIN,G11S,SR11A
TWL,1,3,CHIN,G10J,G10J,CHIN,G10T,G10J
TWL,1,4,CHIN,G10J,G10J,CHIN,G10T,G10J
TWL,1,5,CLP (non-lesson),CLP,SR5,,,
TWL,2,1,CLP (non-lesson),CLP,SR5,,,
TWL,2,4,CHIN,G8A,G8A,,,
TWL,3,2,CHIN,G10J,G10J,CHIN,G10T,G10J
TWL,3,3,CHIN,G8A,G8A,,,
TWL,3,4,SchD-EC,G9D,SR6,SchD-EC,G9P,SR6
TWL,3,4,SchD-EC,G9A,SR6,,,
TWL,3,5,CHIN,G11D,SR11A,CHIN,G11S,SR11A
TWL,3,6,CLP (non-lesson),CLP,SR5,,,
TWL,4,1,CHIN,G8A,G8A,,,
TWL,4,2,CHIN,G10J,G10J,CHIN,G10T,G10J
TWL,4,5,CHIN,G11D,SR11A,CHIN,G11S,SR11A
TWL,4,6,CHIN,G11D,SR11A,CHIN,G11S,SR11A
TWL,5,3,CHIN,G8A,G8A,,,
TWL,5,4,CHIN,G8A,G8A,,,
TWL,5,5,CHIN,G10J,G10J,CHIN,G10T,G10J
TWL,5,6,CLP (non-lesson),CLP,SR5,,,
VT,1,4,ENG,G8D,G8D,,,
VT,2,1,ENG,G8D,G8D,,,
VT,2,5,ELIT,G9S,G9S,,,
VT,3,5,ENG,G8D,G8D,,,
VT,4,1,ELIT,G7M,G7M,,,
VT,4,6,ELIT,G9S,G9S,,,
VT,5,5,ELIT,G7M,G7M,,,
VT,5,6,ENG,G8D,G8D,,,
WKC,1,1,MACO,G10T,G10T,,,
WKC,1,4,MATH,G9J,SR7,MATH,G9T,SR7
WKC,2,1,MACO,G10T,G10T,,,
WKC,2,2,MATH,G9S,G9S,,,
WKC,2,5,MATH,G9J,SR7,MATH,G9T,SR7
WKC,2,6,MATH,G8D,G8D,,,
WKC,3,1,MATH,G9J,SR7,MATH,G9T,SR7
WKC,3,2,MATH,G9S,G9S,,,
WKC,3,5,MACO,G10T,G10T,,,
WKC,3,6,MATH,G8D,G8D,,,
WKC,4,4,MATH,G8D,G8D,,,
WKC,4,5,MATH,G9S,G9S,,,
WKC,4,6,MATH,G9J,SR7,MATH,G9T,SR7
WKC,5,2,MATH,G9S,G9S,,,
WKC,5,4,MATH,G8D,G8D,,,
WKC,5,6,MACO,G10T,G10T,,,
WKL,1,1,CHIN,G9A,G9A,,,
WKL,1,2,CHIN,G9A,G9A,,,
WKL,1,3,CHIN,G10J,SR11B,CHIN,G10T,SR11B
WKL,1,4,CHIN,G10J,SR11B,CHIN,G10T,SR11B
WKL,2,1,CLP (non-lesson),CLP,SR5,,,
WKL,2,2,CHIN,G9A,G9A,,,
WKL,2,3,CHIS,G9S,G9S,,,
WKL,2,5,CLP (non-lesson),CLP,SR5,,,
WKL,2,6,CHIS,G9P,G9P,,,
WKL,3,2,CHIN,G10J,SR11B,CHIN,G10T,SR11B
WKL,3,4,SchD-EC,G7P,SR8,SchD-EC,G7G,SR8
WKL,3,4,SchD-EC,G7A,SR8,,,
WKL,3,5,CHIS,G9J,G9J,,,
WKL,4,2,CHIN,G10J,SR11B,CHIN,G10T,SR11B
WKL,4,3,CHIS,G9A,G9A,,,
WKL,4,5,CHIS,G9L,G9L,,,
WKL,5,1,CHIS,G9M,G9M,,,
WKL,5,4,CHIN,G9A,G9A,,,
WKL,5,5,CHIN,G10J,SR11B,CHIN,G10T,SR11B
WKL,5,6,CLP (non-lesson),CLP,SR5,,,
WL,1,5,ENG,G11S,G11S,,,
WL,2,5,ENG,G12J,G12J,,,
WL,2,6,ENG,G12J,G12J,,,
WL,3,1,ENG,G12J,G12J,,,
WL,3,3,ENG,G11S,G11S,,,
WL,4,3,ENG,G11S,G11S,,,
WL,5,4,ENG,G12J,G12J,,,
WL,5,6,ENG,G11S,G11S,,,
WLO,1,1,MATH,G7A,G7A,,,
WLO,1,2,MAM1,G10M,G10P,MAM1,G10P,G10P
WLO,1,3,MACO,G12J,SR8,MACO,G12T,SR8
WLO,1,6,M1Y,G12J,G12S,M1Y,G12S,G12S
WLO,2,1,MACO,G12J,SR8,MACO,G12T,SR8
WLO,2,2,M1Y,G12J,G12S,M1Y,G12S,G12S
WLO,3,5,MAM1,G10M,G10P,MAM1,G10P,G10P
WLO,3,6,MATH,G7A,G7A,,,
WLO,4,1,MACO,G12J,SR8,MACO,G12T,SR8
WLO,4,3,MATH,G7A,G7A,,,
WLO,4,4,MAM1,G10M,G10P,MAM1,G10P,G10P
WLO,4,5,M1Y,G12J,G12S,M1Y,G12S,G12S
WLO,5,1,MAM1,G10M,G10P,MAM1,G10P,G10P
WLO,5,2,MATH,G7A,G7A,,,
WLO,5,5,MACO,G12J,SR8,MACO,G12T,SR8
WLO,5,6,MAM1,G10M,G10P,MAM1,G10P,G10P
WMC,1,3,GEOG,G9D,G9D,,,
WMC,1,4,GEOG-X,G12D,GEO,GEOG-X,G12J,GEO
WMC,1,4,GEOG-X,G12P,GEO,GEOG-X,G12T,GEO
WMC,1,5,GEOG-X,G11D,GEO,GEOG-X,G11J,GEO
WMC,1,5,GEOG-X,G11P,GEO,GEOG-X,G11T,GEO
WMC,1,6,GEOG,G9M,G9M,,,
WMC,2,2,GEOG-X,G11D,GEO,GEOG-X,G11J,GEO
WMC,2,2,GEOG-X,G11P,GEO,GEOG-X,G11T,GEO
WMC,2,3,GEOG,G10J,GEO,GEOG,G10T,GEO
WMC,3,1,GEOG,G10J,GEO,GEOG,G10T,GEO
WMC,3,2,GEOG,G9A,G9A,,,
WMC,3,5,GEOG-X,G12D,GEO,GEOG-X,G12J,GEO
WMC,3,5,GEOG-X,G12P,GEO,GEOG-X,G12T,GEO
WMC,4,3,GEOG-X,G11D,GEO,GEOG-X,G11J,GEO
WMC,4,3,GEOG-X,G11P,GEO,GEOG-X,G11T,GEO
WMC,4,6,GEOG,G10J,GEO,GEOG,G10T,GEO
WMC,5,1,GEOG-X,G12D,GEO,GEOG-X,G12J,GEO
WMC,5,1,GEOG-X,G12P,GEO,GEOG-X,G12T,GEO
WMC,5,3,GEOG,G9G,G9G,,,
WMC,5,6,GEOG-X,G11D,GEO,GEOG-X,G11J,GEO
WMC,5,6,GEOG-X,G11P,GEO,GEOG-X,G11T,GEO
WN,1,2,ENG,G10J,SR7,ENG,G10T,SR7
WN,1,4,ENG,G7J,SR6,ENG,G7T,SR6
WN,1,5,ENG,G8M,G8M,,,
WN,1,6,ELIT,G8S,G8S,,,
WN,2,2,ENG,G10J,SR7,ENG,G10T,SR7
WN,2,3,ELIT,G8S,G8S,,,
WN,2,5,ENG,G7J,SR6,ENG,G7T,SR6
WN,2,6,ENG,G8M,G8M,,,
WN,4,1,ENG,G7J,SR6,ENG,G7T,SR6
WN,4,4,ENG,G10J,SR7,ENG,G10T,SR7
WN,4,5,ENG,G8M,G8M,,,
WN,4,6,ELIT,G8T,G8T,,,
WN,5,1,ENG,G10J,SR7,ENG,G10T,SR7
WN,5,2,ENG,G8M,G8M,,,
WN,5,3,ELIT,G8T,G8T,,,
WN,5,6,ENG,G7J,SR6,ENG,G7T,SR6
YKH,1,5,ENG,G8S,G8S,,,
YKH,2,1,ELIT,G9T,G9T,,,
YKH,3,5,ENG,G8S,G8S,,,
YKH,3,6,ELIT,G9T,G9T,,,
YKH,4,1,ENG,G8S,G8S,,,
YKH,5,4,ENG,G8S,G8S,,,
YLL,1,1,PE,G11T,G11T,,,
YLL,1,2,PE,G12P,G12P,,,
YLL,1,4,PE,G7S,G7S,,,
YLL,1,5,PED,G10S,G10T,PED,G10T,G10T
YLL,2,2,PED,G12J,G12J,PED,G12M,G12J
YLL,2,2,PED,G12S,G12J,PED,G12T,G12J
YLL,2,3,PE,G10P,G10P,,,
YLL,2,4,PE,G8L,G8L,,,
YLL,4,1,PE,G9L,G9L,,,
YLL,4,3,PED,G10S,G10T,PED,G10T,G10T
YLL,4,4,PE,G9G,G9G,,,
YLL,5,1,PE,G7A,G7A,,,
YLL,5,2,PE,G8L,G8L,,,
YLL,5,3,PED,G10S,G10T,PED,G10T,G10T
YLL,5,4,PE,G10T,G10T,,,
YML,1,1,LIBS,G11M,SR10B,LIBS,G11P,SR10B
YML,1,2,LIBS,G9T,G9T,,,
YML,1,6,LIBS,G10T,G10T,,,
YML,2,1,LIBS,G11M,SR10B,LIBS,G11P,SR10B
YML,2,3,LIBS,G11T,G11T,,,
YML,2,5,LIBS,G10T,G10T,,,
YML,2,6,LIBS,G10S,G10S,,,
YML,3,1,LIBS,G11M,SR10B,LIBS,G11P,SR10B
YML,3,3,LIBS,G10T,G10T,,,
YML,3,5,LIBS,G11T,G11T,,,
YML,3,6,LIBS,G10S,G10S,,,
YML,4,1,LIBS,G10S,G10S,,,
YML,4,5,LIBS,G10T,G10T,,,
YML,5,1,LIBS,G11T,G11T,,,
YML,5,3,LIBS,G9D,G9D,,,
YML,5,4,LIBS,G10S,G10S,,,
YNS,1,1,VA,G7D,ART,,,
YNS,1,3,VA,G7M,ART,,,
YNS,1,5,VA,G7G,ART,,,
YNS,1,6,VA,G7T,ART,,,
YNS,2,1,CLP (non-lesson),CLP,SR5,,,
YNS,2,2,VA,G7L,ART,,,
YNS,2,3,CHIN,G9G,G9G,,,
YNS,2,4,CHIN,G9J,G9J,,,
YNS,2,5,CLP (non-lesson),CLP,SR5,,,
YNS,3,6,VA,G7P,ART,,,
YNS,4,3,CHIN,G9J,G9J,,,
YNS,4,4,CHIN,G9J,G9J,,,
YNS,4,5,CHIN,G9G,G9G,,,
YNS,4,6,CHIN,G9G,G9G,,,
YNS,5,2,CHIN,G9J,G9J,,,
YNS,5,5,VA,G7J,ART,,,
YNS,5,6,CHIN,G9G,G9G,,,
YSL,1,2,ENG,G7P,G7P,,,
YSL,2,1,ELIT,G9J,SR11A,ELIT,G9T,SR11A
YSL,2,3,ENG,G8A,G8A,,,
YSL,2,4,ENG,G7P,G7P,,,
YSL,2,5,ENG,G8P,G8P,,,
YSL,3,2,ELIT,G9P,G9P,,,
YSL,3,3,ENG,G8P,G8P,,,
YSL,3,5,ENG,G8A,G8A,,,
YSL,3,6,ELIT,G9J,SR11A,ELIT,G9T,SR11A
YSL,4,2,ENG,G8A,G8A,,,
YSL,4,3,ENG,G7P,G7P,,,
YSL,4,5,ENG,G8P,G8P,,,
YSL,5,2,ELIT,G9P,G9P,,,
YSL,5,3,ENG,G7P,G7P,,,
YSL,5,4,ENG,G8P,G8P,,,
YSL,5,6,ENG,G8A,G8A,,,
YTW,1,2,BIO,G10D,GS,BIO,G10S,GS
YTW,1,5,BIO-Y,G10J,G10S,BIO-Y,G10M,G10S
YTW,1,5,BIO-Y,G10S,G10S,BIO-Y,G10T,G10S
YTW,3,3,BIO,G10D,BIO,BIO,G10S,BIO
YTW,4,3,BIO-Y,G10J,BIO,BIO-Y,G10M,BIO
YTW,4,3,BIO-Y,G10S,BIO,BIO-Y,G10T,BIO
YTW,4,4,BIO,G10D,G10D,BIO,G10S,G10D
YTW,5,3,BIO-Y,G10J,GS,BIO-Y,G10M,GS
YTW,5,3,BIO-Y,G10S,GS,BIO-Y,G10T,GS
YWL,1,2,CHIN,G8M,G8M,,,
YWL,1,3,CHIN,G10J,G10T,CHIN,G10T,G10T
YWL,1,4,CHIN,G10J,G10T,CHIN,G10T,G10T
YWL,1,5,CLP (non-lesson),CLP,SR5,,,
YWL,2,1,CLP (non-lesson),CLP,SR5,,,
YWL,2,3,CHIN,G8M,G8M,,,
YWL,2,4,CHIN,G9J,SR6,CHIN,G9T,SR6
YWL,2,5,CLP (non-lesson),CLP,SR5,,,
YWL,3,1,CHIS,G9D,G9D,,,
YWL,3,2,CHIN,G10J,G10T,CHIN,G10T,G10T
YWL,3,5,CHIN,G8M,G8M,,,
YWL,3,6,CHIN,G8M,G8M,,,
YWL,4,2,CHIN,G10J,G10T,CHIN,G10T,G10T
YWL,4,3,CHIN,G9J,SR6,CHIN,G9T,SR6
YWL,4,4,CHIN,G9J,SR6,CHIN,G9T,SR6
YWL,5,1,CHIS,G8T,G8T,,,
YWL,5,2,CHIN,G9J,SR6,CHIN,G9T,SR6
YWL,5,3,CHIN,G8M,G8M,,,
YWL,5,5,CHIN,G10J,G10T,CHIN,G10T,G10T
YWL,5,6,CLP (non-lesson),CLP,SR5,,,
YYC,1,4,ENG,G9G,G9G,,,
YYC,1,5,ENG,G8J,SR7,ENG,G8T,SR7
YYC,1,6,ENG,G11J,SR11A,ENG,G11T,SR11A
YYC,2,1,ENG,G9G,G9G,,,
YYC,2,2,RE,G7A,G7A,,,
YYC,2,3,CLP (non-lesson),CLP,GSCC,,,
YYC,2,4,RE,G7G,G7G,,,
YYC,3,3,ENG,G11J,SR11A,ENG,G11T,SR11A
YYC,3,5,ENG,G8J,SR7,ENG,G8T,SR7
YYC,4,1,ENG,G11J,SR11A,ENG,G11T,SR11A
YYC,4,2,ENG,G8J,SR7,ENG,G8T,SR7
YYC,4,3,ENG,G9G,G9G,,,
YYC,4,6,ELIT,G8J,SR10B,ELIT,G8T,SR10B
YYC,5,2,ENG,G11J,SR11A,ENG,G11T,SR11A
YYC,5,3,ELIT,G8J,SR10B,ELIT,G8T,SR10B
YYC,5,4,ENG,G9G,G9G,,,
YYC,5,6,ENG,G8J,SR7,ENG,G8T,SR7
ZY,1,2,MATH,G7T,G7T,,,
ZY,1,3,MACO,G12T,G12T,,,
ZY,1,4,MACO,G11J,G11J,,,
ZY,1,5,MATH,G7M,G7M,,,
ZY,2,1,MACO,G12T,G12T,,,
ZY,2,5,MATH,G7M,G7M,,,
ZY,2,6,MATH,G7T,G7T,,,
ZY,3,1,MATH,G7M,G7M,,,
ZY,3,2,MATH,G7T,G7T,,,
ZY,3,6,MACO,G11J,G11J,,,
ZY,4,1,MACO,G12T,G12T,,,
ZY,4,2,MACO,G11J,G11J,,,
ZY,4,3,MATH,G7T,G7T,,,
ZY,5,2,MATH,G7M,G7M,,,
ZY,5,5,MACO,G12T,G12T,,,
CCY,1,5,IB,IB,IB,,,
CCY,1,6,IB,IB,IB,,,
CCY,2,5,IB,IB,IB,,,
CCY,4,4,IB,IB,IB,,,
CCY,4,5,IB,IB,IB,,,
CCY,4,6,IB,IB,IB,,,
CCY,5,3,IB,IB,IB,,,
JMS,1,3,IB,IB,IB,,,
JMS,1,5,IB,IB,IB,,,
JMS,1,6,IB,IB,IB,,,
JMS,2,3,IB,IB,IB,,,
JMS,2,4,IB,IB,IB,,,
JMS,2,5,IB,IB,IB,,,
JMS,2,6,IB,IB,IB,,,
JMS,4,1,IB,IB,IB,,,
JMS,4,4,IB,IB,IB,,,
JMS,4,5,IB,IB,IB,,,
JMS,4,6,IB,IB,IB,,,
JMS,5,1,IB,IB,IB,,,
JMS,5,2,IB,IB,IB,,,
JMS,5,3,IB,IB,IB,,,
FS,1,4,IB,IB,IB,,,
FS,2,5,IB,IB,IB,,,
FS,2,6,IB,IB,IB,,,
FS,4,4,IB,IB,IB,,,
FS,5,3,IB,IB,IB,,,
KY,2,4,IB,IB,IB,,,
KY,2,5,IB,IB,IB,,,
KY,2,6,IB,IB,IB,,,
WL,1,1,IB,IB,IB,,,
WL,1,2,IB,IB,IB,,,
WL,2,3,IB,IB,IB,,,
WL,3,4,IB,IB,IB,,,
WL,3,6,IB,IB,IB,,,
WL,4,1,IB,IB,IB,,,
WL,4,4,IB,IB,IB,,,
WL,5,2,IB,IB,IB,,,
WL,5,3,IB,IB,IB,,,
WL,5,5,IB,IB,IB,,,
EW,5,5,CLP (non-lesson),CLP,IB,,,
SKL,5,5,CLP (non-lesson),CLP,IB,,,
FW,5,5,CLP (non-lesson),CLP,IB,,,
CKC,5,5,CLP (non-lesson),CLP,IB,,,
CYY,5,5,CLP (non-lesson),CLP,IB,,,
KCY,5,5,CLP (non-lesson),CLP,IB,,,
CLH,5,5,CLP (non-lesson),CLP,IB,,,
YML,5,5,CLP (non-lesson),CLP,IB,,,
EW,5,6,CLP (non-lesson),CLP,IB,,,
SKL,5,6,CLP (non-lesson),CLP,IB,,,
FW,5,6,CLP (non-lesson),CLP,IB,,,
CKC,5,6,CLP (non-lesson),CLP,IB,,,
CYY,5,6,CLP (non-lesson),CLP,IB,,,
KCY,5,6,CLP (non-lesson),CLP,IB,,,
CLH,5,6,CLP (non-lesson),CLP,IB,,,
YML,5,6,CLP (non-lesson),CLP,IB,,,
